""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"deoxyadenosine (C_l)"	0.355275913917018	0.338452324397591	0			0.000479156684235745	0.00103092783505155	0.000475511174512601	0.000310462589257994	0.000310462589257994
"dGMP (C_l)"	0.355275913917018	0.338452324397591	0			0.000479156684235745	0.00103092783505155	0.000475511174512601	0.000310462589257994	0.000310462589257994
"deoxyguanosine (C_l)"	0.355275913917018	0.338452324397591	0			0.000479156684235745	0.00103092783505155	0.000475511174512601	0.000310462589257994	0.000310462589257994
"1,2-diacylglycerol-LD-PI pool (C_c)"	0.355856949490081	0	0.350587247918103	0.341187568104598	0.341187568104598	0.000479156684235745	0.00044404973357016	0.000904977375565611	0.000706713780918728	0.000706713780918728
"N-acetylgalactosamine (C_l)"	0.355039782705164	0.409760221691033	0			0.000479156684235745	0.00181159420289855	0.000475511174512601	0.000310462589257994	0.000310462589257994
"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5 (C_l)"	0.355039782705164	0.409760221691033	0			0.000479156684235745	0.00181159420289855	0.000475511174512601	0.000310462589257994	0.000310462589257994
"CoA (C_l)"	0.355275913917018	0.338452324397591	0			0.000479156684235745	0.00103092783505155	0.000475511174512601	0.000310462589257994	0.000310462589257994
"dephospho-CoA (C_l)"	0.355275913917018	0.338452324397591	0			0.000479156684235745	0.00103092783505155	0.000475511174512601	0.000310462589257994	0.000310462589257994
"riboflavin (C_c)"	0.361211332842602	0.326242063450423	0	0.0847268304940247	0.0847268304940247	0.000479156684235745	0.000959692898272553	0.000475511174512601	0.000433839479392625	0.000433839479392625
"reverse triiodthyronine (C_s)"	0.355275913917018	0.338452324397591	0			0.000479156684235745	0.00103092783505155	0.000475511174512601	0.000310462589257994	0.000310462589257994
"malonyl-CoA (C_p)"	0.358744083078829	0	0.138985620032075	0.315819150439844	0.315819150439844	0.000475059382422803	0.00044404973357016	0.00072463768115942	0.0006265664160401	0.0006265664160401
"leukotriene B4 (C_r)"	0.358238438071486	0.291885168578251	0	0.20492678215609	0.20492678215609	0.000475059382422803	0.000903342366757001	0.000475511174512601	0.000568828213879408	0.000568828213879408
"noradrenaline (C_c)"	0.378480989430193	0	0.578856932928335	0.476656808058701	0.476656808058701	0.000474608448030375	0.00044404973357016	0.00114155251141553	0.000738552437223043	0.000738552437223043
"linoleoyl-CoA (C_p)"	0.375779803275808	0.0894502959175221	0	0.160622524497241	0.160622524497241	0.00047438330170778	0.000557724484104852	0.000485436893203883	0.000491159135559921	0.000491159135559921
