""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"5(S),6(S)-epoxy-15(R)-HEPE (C_n)"	0.713723213533157	0.585611673068925	0			0.0008058017727639	0.00233644859813084	0.000542005420054201	0.000305343511450382	0.000305343511450382
"15(R)-HEPE (C_r)"	0.713723213533157	0.585611673068925	0			0.0008058017727639	0.00233644859813084	0.000542005420054201	0.000305343511450382	0.000305343511450382
"15(R)-HEPE (C_p)"	0.713723213533157	0.585611673068925	0			0.0008058017727639	0.00233644859813084	0.000542005420054201	0.000305343511450382	0.000305343511450382
"5,6-epoxy,(18R)-HEPE (C_c)"	0.713723213533157	0.585611673068925	0			0.0008058017727639	0.00233644859813084	0.000542005420054201	0.000305343511450382	0.000305343511450382
"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid (C_c)"	0.713723213533157	0.585611673068925	0			0.0008058017727639	0.00233644859813084	0.000542005420054201	0.000305343511450382	0.000305343511450382
"5,15-DiHETE (C_c)"	0.713723213533157	0.585611673068925	0			0.0008058017727639	0.00233644859813084	0.000542005420054201	0.000305343511450382	0.000305343511450382
"glucose (C_c)"	0.598513298225831	1.02132655781424	0	0.104555353022601	0.104555353022601	0.000798722044728434	0.0053475935828877	0.000542005420054201	0.000379794910748196	0.000379794910748196
"pristanic acid (C_p)"	0.710634048479968	0	0.830501905315032	0.548459171428051	0.548459171428051	0.000798722044728434	0.000391389432485323	0.0022883295194508	0.00121654501216545	0.00121654501216545
"glucosylceramide pool (C_c)"	0.844846222234852	1.1207091046827	0	0.0905884030365983	0.0905884030365983	0.000798722044728434	0.00434782608695652	0.000542005420054201	0.000361925443358668	0.000361925443358668
"citrate (C_s)"	0.645661023211919	0	0.699274116925179	0.4843115654561	0.4843115654561	0.000798722044728434	0.000391389432485323	0.00210970464135021	0.00115074798619102	0.00115074798619102
"dehydroepiandrosterone sulfate (C_s)"	0.779003302852632	0.538816728735412	0	0.193358833094466	0.193358833094466	0.000798722044728434	0.000991080277502478	0.000542005420054201	0.00051150895140665	0.00051150895140665
