""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"NAD+ (C_c)"	10	0	1.9983960758502	10	10	1	0.000407166123778502	0.00490196078431373	1	1
"H+ (C_c)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"NADH (C_c)"	10	0	2.25973207600387	10	10	1	0.000407166123778502	0.00492610837438424	1	1
"NADP+ (C_c)"	10	0	0.522618246732947	2.55186590373522	2.55186590373522	1	0.000407166123778502	0.00175438596491228	0.037037037037037	0.037037037037037
"NADPH (C_c)"	10	0	0.584959842632557	2.9620558447969	2.9620558447969	1	0.000407166123778502	0.00184162062615101	0.0384615384615385	0.0384615384615385
"ATP (C_c)"	10	0	1.2893749849392	10	10	1	0.000407166123778502	0.00224719101123596	1	1
"PPi (C_c)"	10	0	10	10	10	1	0.000391389432485323	0.0416666666666667	1	1
"ATP (C_m)"	10	0	10	10	10	1	0.000391389432485323	0.0476190476190476	1	1
"CoA (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"acetyl-CoA (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"PPi (C_m)"	10	0	2.59467071819712	2.28940035334845	2.28940035334845	1	0.000391389432485323	0.010989010989011	0.0196078431372549	0.0196078431372549
"NAD+ (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"CO2 (C_m)"	10	0	2.67454591394374	10	10	1	0.000391389432485323	0.0144927536231884	1	1
"H+ (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"NADH (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"H2O (C_c)"	10	0	0.0889170004014416	10	10	1	0.000542005420054201	0.000636132315521629	1	1
"ADP (C_c)"	10	0.0349441861931291	0	2.31191848986353	2.31191848986353	1	0.00048828125	0.000556792873051225	0.0232558139534884	0.0232558139534884
"Pi (C_c)"	10	0	0.351171789011199	10	10	1	0.000420875420875421	0.001001001001001	0.0222222222222222	0.0222222222222222
"H2O (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"CO2 (C_c)"	10	0	10	10	10	1	0.000391389432485323	0.0103092783505155	1	1
"HCO3- (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"ADP (C_m)"	10	0	1.07713446960369	10	10	1	0.000407166123778502	0.0020746887966805	1	1
"Pi (C_m)"	10	0	2.46223126082937	10	10	1	0.000391389432485323	0.00617283950617284	1	1
"propanoyl-CoA (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"H2O (C_l)"	10	10	0	0.57079698958629	0.57079698958629	1	1	0.000542005420054201	0.00100704934541793	0.00100704934541793
"ubiquinone (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"3alpha-hydroxy-5alpha-pregnan-20-one (C_c)"	10	10	0			1	1	0.000542005420054201	0.000305343511450382	0.000305343511450382
"5alpha-pregnane-3,20-dione (C_c)"	10	10	0			1	1	0.000542005420054201	0.000305343511450382	0.000305343511450382
"5alpha-androstane-3,17-dione (C_c)"	2.70256779518983	10	0	0.011896086739776	0.011896086739776	1	1	0.000542005420054201	0.000311138767890479	0.000311138767890479
"5alpha-androstane-3,17-dione (C_r)"	10	10	0			1	1	0.000542005420054201	0.000305343511450382	0.000305343511450382
"androsterone (C_c)"	10	10	0			1	1	0.000542005420054201	0.000305343511450382	0.000305343511450382
"activation-ppara (C_n)"	10	0	1.98598377074164	10	10	1	0.000391389432485323	0.00675675675675676	1	1
"activation-ppara (C_c)"	10	0	0.430286747523917	2.39873332021868	2.39873332021868	1	0.000407166123778502	0.00174825174825175	0.0294117647058824	0.0294117647058824
"ubiquinol (C_m)"	2.98134110241448	0	10	10	10	0.0294117647058824	0.000391389432485323	1	0.04	0.04
"androsterone (C_r)"	10	10	0	0.123095454685178	0.123095454685178	0.0285714285714286	1	0.000542005420054201	0.000386548125241593	0.000386548125241593
"FAD (C_m)"	2.50704415262458	0	10	2.55186590373522	2.55186590373522	0.0277777777777778	0.000391389432485323	1	0.0344827586206897	0.0344827586206897
"FADH2 (C_m)"	2.50704415262458	0	10	2.55186590373522	2.55186590373522	0.0277777777777778	0.000391389432485323	1	0.0344827586206897	0.0344827586206897
"[ACP] (C_c)"	2.98134110241448	0	2.05206169176452	2.39873332021868	2.39873332021868	0.0263157894736842	0.000391389432485323	0.00694444444444444	0.027027027027027	0.027027027027027
"ethanolamine-phosphate (C_c)"	10	0.169847769515056	0	1.17663011837511	1.17663011837511	0.0256410256410256	0.000504032258064516	0.0006635700066357	0.00408163265306122	0.00408163265306122
"CoA (C_c)"	10	0	2.14750170782384	10	10	0.025	0.000391389432485323	0.00418410041841004	0.0416666666666667	0.0416666666666667
"butyryl-CoA (C_m)"	2.50704415262458	0	2.67454591394374	1.87801362094916	1.87801362094916	0.025	0.000391389432485323	0.0204081632653061	0.0119047619047619	0.0119047619047619
"crotonyl-CoA (C_m)"	2.57762358477582	0	10	2.31191848986353	2.31191848986353	0.0238095238095238	0.000391389432485323	0.0476190476190476	0.0256410256410256	0.0256410256410256
"thiocyanate (C_c)"	2.57762358477582	0	10	10	10	0.0238095238095238	0.000391389432485323	0.0227272727272727	1	1
"2-methylbutyryl-CoA (C_m)"	2.57762358477582	0	10	2.55186590373522	2.55186590373522	0.0227272727272727	0.000391389432485323	1	0.03125	0.03125
"NH3 (C_c)"	10	0	0.0254790964487477	2.35022717269932	2.35022717269932	0.0222222222222222	0.000535045478865704	0.000636132315521629	0.0166666666666667	0.0166666666666667
"lactaldehyde (C_c)"	2.57762358477582	0	0.341206623212071	1.68060242594817	1.68060242594817	0.0217391304347826	0.000407166123778502	0.00108225108225108	0.0099009900990099	0.0099009900990099
"H2O2 (C_c)"	2.50704415262458	0	1.22456432424801	1.76015017930981	1.76015017930981	0.0217391304347826	0.000407166123778502	0.00232018561484919	0.0112359550561798	0.0112359550561798
"tiglyl-CoA (C_m)"	2.01549518954395	0	10	2.45105808333513	2.45105808333513	0.0217391304347826	0.000391389432485323	1	0.0303030303030303	0.0303030303030303
"(R)-methylmalonyl-CoA (C_m)"	2.42683819098491	0	2.80807414828856	2.31191848986353	2.31191848986353	0.0204081632653061	0.000391389432485323	0.0434782608695652	0.027027027027027	0.027027027027027
"AMP (C_c)"	2.35577811943461	0	0.967099321267324	2.9620558447969	2.9620558447969	0.02	0.000407166123778502	0.00183150183150183	0.0344827586206897	0.0344827586206897
"H2O (C_s)"	2.57762358477582	0	0.0114544199541469	1.14119220459287	1.14119220459287	0.02	0.000407166123778502	0.000677506775067751	0.00276243093922652	0.00276243093922652
"3-oxododecanoyl-[ACP] (C_c)"	2.50704415262458	0	1.47780363286337	1.87801362094916	1.87801362094916	0.0192307692307692	0.000391389432485323	0.0036101083032491	0.0163934426229508	0.0163934426229508
"GM2 (C_l)"	2.26929845571815	2.79947780819789	0			0.0188679245283019	1	0.000542005420054201	0.000305343511450382	0.000305343511450382
"GTP (C_c)"	2.70256779518983	0	0.070647500874514	1.75629241333821	1.75629241333821	0.0185185185185185	0.000426439232409382	0.000642260757867694	0.00961538461538462	0.00961538461538462
"malonyl-[ACP] (C_c)"	2.26929845571815	0	1.5353465425505	1.89602533061361	1.89602533061361	0.0185185185185185	0.000391389432485323	0.0036231884057971	0.0158730158730159	0.0158730158730159
"acetyl-CoA (C_c)"	2.50704415262458	0	2.23828259742433	10	10	0.0178571428571429	0.000391389432485323	0.00485436893203883	1	1
"isovaleryl-CoA (C_m)"	2.42683819098491	0	10	2.35022717269932	2.35022717269932	0.0175438596491228	0.000391389432485323	1	0.0227272727272727	0.0227272727272727
"butyryl-CoA (C_c)"	2.23969062882691	0	0.964930655578896	1.67168156910618	1.67168156910618	0.0172413793103448	0.000391389432485323	0.00209643605870021	0.0113636363636364	0.0113636363636364
"5-hydroxyindoleacetaldehyde (C_c)"	2.23969062882691	0	1.18650574556476	2.07226018182861	2.07226018182861	0.0169491525423729	0.000391389432485323	0.00251256281407035	0.0149253731343284	0.0149253731343284
"3-methyl-2-oxobutyrate (C_m)"	2.17968686037893	0	10	2.28940035334845	2.28940035334845	0.0166666666666667	0.000391389432485323	0.0588235294117647	0.0217391304347826	0.0217391304347826
"4-methyl-2-oxopentanoate (C_m)"	2.17968686037893	0	10	2.28940035334845	2.28940035334845	0.0166666666666667	0.000391389432485323	0.0588235294117647	0.0217391304347826	0.0217391304347826
"2-oxo-3-methylvalerate (C_m)"	2.17968686037893	0	10	2.28940035334845	2.28940035334845	0.0166666666666667	0.000391389432485323	0.0588235294117647	0.0217391304347826	0.0217391304347826
"3-oxodecanoyl-[ACP] (C_c)"	2.08277816108789	0	0.370243919137234	1.39158094868271	1.39158094868271	0.0158730158730159	0.000407166123778502	0.00135685210312076	0.00806451612903226	0.00806451612903226
"retinal (C_c)"	2.26929845571815	0	1.40802321960171	2.07226018182861	2.07226018182861	0.0158730158730159	0.000391389432485323	0.0033003300330033	0.0188679245283019	0.0188679245283019
"retinal (C_r)"	2.26929845571815	0	1.40802321960171	2.07226018182861	2.07226018182861	0.0158730158730159	0.000391389432485323	0.0033003300330033	0.0188679245283019	0.0188679245283019
"(2E)-decenoyl-CoA (C_m)"	2.08277816108789	0	2.67454591394374	1.96923840904898	1.96923840904898	0.0151515151515152	0.000391389432485323	0.0238095238095238	0.0178571428571429	0.0178571428571429
"glycine (C_c)"	2.06074040329846	0	0.446371801850003	2.67524440096208	2.67524440096208	0.0149253731343284	0.000407166123778502	0.00111731843575419	0.0238095238095238	0.0238095238095238
"GM2A (C_l)"	2.26929845571815	2.05474812377063	0	0.630895514428371	0.630895514428371	0.0149253731343284	0.0333333333333333	0.000542005420054201	0.0015748031496063	0.0015748031496063
"[protein]-tyrosine-phosphate (C_c)"	2.23969062882691	0	0.0667709359734048	1.17663011837511	1.17663011837511	0.0144927536231884	0.000407166123778502	0.00074019245003701	0.00303030303030303	0.00303030303030303
"3,4-dihydroxymandelaldehyde (C_c)"	1.84970418717446	0	2.05206169176452	1.60986006153238	1.60986006153238	0.0142857142857143	0.000391389432485323	0.00689655172413793	0.01	0.01
"[protein]-L-tyrosine (C_c)"	1.99783393824349	0	0.0618757228262381	1.1298127106719	1.1298127106719	0.0142857142857143	0.000407166123778502	0.000732600732600733	0.00277008310249307	0.00277008310249307
"hexanoyl-[ACP] (C_c)"	1.92981431362162	0	1.12185176645419	1.52889906827962	1.52889906827962	0.0138888888888889	0.000391389432485323	0.00255754475703325	0.00854700854700855	0.00854700854700855
"3-oxooctanoyl-[ACP] (C_c)"	1.92981431362162	0	1.12185176645419	1.52889906827962	1.52889906827962	0.0138888888888889	0.000391389432485323	0.00255754475703325	0.00854700854700855	0.00854700854700855
"decanoyl-[ACP] (C_c)"	1.92981431362162	0	1.12185176645419	1.52889906827962	1.52889906827962	0.0138888888888889	0.000391389432485323	0.00255754475703325	0.00854700854700855	0.00854700854700855
"tetradecanoyl-[ACP] (C_c)"	1.92981431362162	0	1.12185176645419	1.52889906827962	1.52889906827962	0.0138888888888889	0.000391389432485323	0.00255754475703325	0.00854700854700855	0.00854700854700855
"retinol (C_r)"	1.96014982225034	0	1.88904011887512	2.07226018182861	2.07226018182861	0.0131578947368421	0.000391389432485323	0.00467289719626168	0.0188679245283019	0.0188679245283019
"lipoamide (C_m)"	1.90038840960747	0	2.59467071819712	2.39873332021868	2.39873332021868	0.012987012987013	0.000391389432485323	0.0104166666666667	0.024390243902439	0.024390243902439
"D-lactaldehyde (C_c)"	2.16120756006378	0	0.705423560798378	2.07226018182861	2.07226018182861	0.012987012987013	0.000407166123778502	0.00156985871271586	0.0106382978723404	0.0106382978723404
"H2O2 (C_m)"	1.86857382785255	0	1.99336284093141	1.22337144657985	1.22337144657985	0.012987012987013	0.000391389432485323	0.00584795321637427	0.00320512820512821	0.00320512820512821
"(9E)-tetradecenoyl-CoA (C_m)"	1.86857382785255	0	10	1.87801362094916	1.87801362094916	0.0125	0.000391389432485323	0.0588235294117647	0.0192307692307692	0.0192307692307692
"3-hydroxypropionyl-CoA (C_m)"	1.69940451611004	0	2.67454591394374	2.08698131625204	2.08698131625204	0.0123456790123457	0.000391389432485323	0.0238095238095238	0.02	0.02
"3-oxotetradecanoyl-[ACP] (C_c)"	1.80645801143378	0	0.699274116925179	1.43975851110709	1.43975851110709	0.0123456790123457	0.000391389432485323	0.00185873605947955	0.0101010101010101	0.0101010101010101
"methanol (C_c)"	2.08277816108789	0	10	10	10	0.0123456790123457	0.000391389432485323	0.0119047619047619	0.0357142857142857	0.0357142857142857
"7-carboxy-alpha-tocotrienol (C_m)"	1.80645801143378	0	2.59467071819712	1.54027588615816	1.54027588615816	0.0119047619047619	0.000391389432485323	0.0196078431372549	0.00862068965517241	0.00862068965517241
"10-formyl-THF (C_c)"	1.82751383031306	0	1.78658850541722	10	10	0.0117647058823529	0.000391389432485323	0.00347222222222222	0.0285714285714286	0.0285714285714286
"S-(2-methylbutanoyl)-dihydrolipoamide (C_m)"	1.92981431362162	0	2.53187430494958	1.90650827298907	1.90650827298907	0.0117647058823529	0.000391389432485323	0.02	0.0163934426229508	0.0163934426229508
"tyramine (C_c)"	1.79947780819789	0.293760289951386	0	0.77723152065142	0.77723152065142	0.0114942528735632	0.0006765899864682	0.000556792873051225	0.00184842883548983	0.00184842883548983
"retinol (C_c)"	2.17968686037893	0	0.70123422773812	1.78149075280107	1.78149075280107	0.0114942528735632	0.000391389432485323	0.00173913043478261	0.00819672131147541	0.00819672131147541
"formaldehyde (C_c)"	1.7817534203317	0	2.53187430494958	2.45105808333513	2.45105808333513	0.0112359550561798	0.000391389432485323	0.00934579439252336	0.0204081632653061	0.0204081632653061
"AMP (C_m)"	1.81944405929636	0	10	1.90650827298907	1.90650827298907	0.0111111111111111	0.000391389432485323	0.024390243902439	0.0158730158730159	0.0158730158730159
"4(R),8-dimethyl-trans-2-nonenoyl-CoA (C_m)"	1.55534636899976	0	2.67454591394374	1.96887442426843	1.96887442426843	0.010989010989011	0.000391389432485323	0.0217391304347826	0.0178571428571429	0.0178571428571429
"2,6-dimethyl-trans-2-heptenoyl-CoA (C_m)"	1.55534636899976	0	2.67454591394374	1.96887442426843	1.96887442426843	0.010989010989011	0.000391389432485323	0.0217391304347826	0.0178571428571429	0.0178571428571429
"4-methyl-trans-2-pentenoyl-CoA (C_m)"	1.55534636899976	0	2.67454591394374	1.96887442426843	1.96887442426843	0.010989010989011	0.000391389432485323	0.0217391304347826	0.0178571428571429	0.0178571428571429
"GDP (C_m)"	1.84970418717446	0.0914292030286552	0	1.35917086913861	1.35917086913861	0.0106382978723404	0.000621890547263682	0.000556792873051225	0.00495049504950495	0.00495049504950495
"succinyl-CoA (C_m)"	1.80645801143378	0	0.86857382785255	1.86232946276324	1.86232946276324	0.0105263157894737	0.000391389432485323	0.00185873605947955	0.0116279069767442	0.0116279069767442
"20alpha-hydroxy-4-pregnen-3-one (C_c)"	1.69940451611004	1.97728301994897	0			0.0104166666666667	0.0303030303030303	0.000542005420054201	0.000305343511450382	0.000305343511450382
"sn-glycerol-3-phosphate (C_c)"	1.75372305456594	0	2.35577811943461	2.07226018182861	2.07226018182861	0.0104166666666667	0.000391389432485323	0.0075187969924812	0.00909090909090909	0.00909090909090909
"sphingosine-1-phosphate (C_c)"	1.69940451611004	1.13033420278971	0	0.704476881452507	0.704476881452507	0.0102040816326531	0.00380228136882129	0.000542005420054201	0.00164744645799012	0.00164744645799012
"phosphatidate-LD-PE pool (C_c)"	1.80645801143378	0	0.016170818930218	1.40877952036571	1.40877952036571	0.0101010101010101	0.000473709142586452	0.000596302921884317	0.0045045045045045	0.0045045045045045
"octanoyl-[ACP] (C_c)"	1.80645801143378	0	0.825882018745733	1.40703534116752	1.40703534116752	0.01	0.000391389432485323	0.00225225225225225	0.00714285714285714	0.00714285714285714
"3-oxohexadecanoyl-[ACP] (C_c)"	1.69940451611004	0	1.06394894710253	1.52889906827962	1.52889906827962	0.0099009900990099	0.000391389432485323	0.00233100233100233	0.00854700854700855	0.00854700854700855
"thioredoxin (C_c)"	1.69940451611004	10	0	0.0776223243550215	0.0776223243550215	0.00980392156862745	0.0434782608695652	0.000542005420054201	0.000363372093023256	0.000363372093023256
"oxidized thioredoxin (C_c)"	1.69940451611004	10	0	0.0776223243550215	0.0776223243550215	0.00980392156862745	0.0434782608695652	0.000542005420054201	0.000363372093023256	0.000363372093023256
"cysteine (C_c)"	1.76505268434731	0.362840620011936	0	0.817985013849265	0.817985013849265	0.00961538461538462	0.000623052959501558	0.000636132315521629	0.00175438596491228	0.00175438596491228
"methylmalonate (C_m)"	1.74831312183151	0	0.509311283286811	1.35917086913861	1.35917086913861	0.00952380952380952	0.000407166123778502	0.00139275766016713	0.00429184549356223	0.00429184549356223
"phosphatidate-LD-PI pool (C_c)"	1.69940451611004	0.00519470547936337	0	1.35917086913861	1.35917086913861	0.00952380952380952	0.000475737392959087	0.000556792873051225	0.00440528634361234	0.00440528634361234
"S-(3-methylbutanoyl)-dihydrolipoamide (C_m)"	1.75372305456594	0	2.46223126082937	1.79053860537001	1.79053860537001	0.00934579439252336	0.000391389432485323	0.0120481927710843	0.0105263157894737	0.0105263157894737
"glyceraldehyde (C_m)"	1.70256779518983	0	0.659754238432068	1.35917086913861	1.35917086913861	0.00934579439252336	0.000391389432485323	0.00188323917137476	0.00418410041841004	0.00418410041841004
"keratan sulfate I, degradation product 6 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 9 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 12 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 15 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 18 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 21 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 24 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 27 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 30 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 33 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate I, degradation product 36 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate II (core 2-linked), degradation product 3 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate II (core 2-linked), degradation product 6 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"keratan sulfate II (core 4-linked), degradation product 3 (C_l)"	1.69940451611004	10	0			0.00917431192660551	0.111111111111111	0.000542005420054201	0.000305343511450382	0.000305343511450382
"glycerol (C_c)"	1.56594233143614	0	1.96034797641808	1.52889906827962	1.52889906827962	0.00813008130081301	0.000391389432485323	0.00588235294117647	0.00704225352112676	0.00704225352112676
"1,2-diacylglycerol-LD-PE pool (C_c)"	1.69940451611004	0	0.272231082699385	1.41910922208666	1.41910922208666	0.00806451612903226	0.000407166123778502	0.00110497237569061	0.00497512437810945	0.00497512437810945
"phosphatidate-LD-PC pool (C_c)"	1.71541136959606	0	0.070647500874514	1.52889906827962	1.52889906827962	0.00806451612903226	0.000426439232409382	0.000636132315521629	0.00609756097560976	0.00609756097560976
"phosphatidate-LD-PS pool (C_c)"	1.71541136959606	0	0.070647500874514	1.52889906827962	1.52889906827962	0.00806451612903226	0.000426439232409382	0.000636132315521629	0.00609756097560976	0.00609756097560976
"hypothiocyanite (C_c)"	1.69940451611004	0	2.38830854850197	2.39873332021868	2.39873332021868	0.0078740157480315	0.000391389432485323	0.00613496932515337	0.0256410256410256	0.0256410256410256
"propane-1,2-diol (C_c)"	1.6680263828625	0	1.56581446613803	1.72149790550612	1.72149790550612	0.0078125	0.000391389432485323	0.00336700336700337	0.00813008130081301	0.00813008130081301
"trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA (C_m)"	1.69940451611004	0	2.42502011178601	1.57165459181512	1.57165459181512	0.0078125	0.000391389432485323	0.0135135135135135	0.00980392156862745	0.00980392156862745
"(2E)-dodecenoyl-CoA (C_m)"	1.69940451611004	0	2.42502011178601	1.57165459181512	1.57165459181512	0.0078125	0.000391389432485323	0.0135135135135135	0.00980392156862745	0.00980392156862745
"trans,cis,cis-2,7,10-hexadecatrienoyl-CoA (C_m)"	1.69015699528393	0	2.38830854850197	1.59847883861446	1.59847883861446	0.00763358778625954	0.000391389432485323	0.0117647058823529	0.00952380952380952	0.00952380952380952
"fructose-2,6-bisphosphate (C_c)"	1.69940451611004	0	0.322584690063482	1.6112063276765	1.6112063276765	0.00757575757575758	0.000475285171102662	0.000707714083510262	0.0103092783505155	0.0103092783505155
"apoA1 (C_l)"	1.6680263828625	1.12952001205599	0	0.630895514428371	0.630895514428371	0.00757575757575758	0.00746268656716418	0.000542005420054201	0.0015748031496063	0.0015748031496063
"ATP (C_l)"	1.6680263828625	1.12952001205599	0	0.630895514428371	0.630895514428371	0.00757575757575758	0.00746268656716418	0.000542005420054201	0.0015748031496063	0.0015748031496063
"ADP (C_l)"	1.6680263828625	1.12952001205599	0	0.630895514428371	0.630895514428371	0.00757575757575758	0.00746268656716418	0.000542005420054201	0.0015748031496063	0.0015748031496063
"STAR (C_l)"	1.6680263828625	1.12952001205599	0	0.630895514428371	0.630895514428371	0.00757575757575758	0.00746268656716418	0.000542005420054201	0.0015748031496063	0.0015748031496063
"apocytochrome-C (C_l)"	1.6680263828625	1.12952001205599	0	0.630895514428371	0.630895514428371	0.00757575757575758	0.00746268656716418	0.000542005420054201	0.0015748031496063	0.0015748031496063
"PPARA (C_l)"	1.6680263828625	1.12952001205599	0	0.630895514428371	0.630895514428371	0.00757575757575758	0.00746268656716418	0.000542005420054201	0.0015748031496063	0.0015748031496063
"dodecanoyl-[ACP] (C_c)"	1.69940451611004	0	0.729693908847087	1.35917086913861	1.35917086913861	0.00757575757575758	0.000391389432485323	0.00212765957446809	0.00613496932515337	0.00613496932515337
"THF (C_c)"	1.6680263828625	0	2.16120756006378	2.35022717269932	2.35022717269932	0.00714285714285714	0.000391389432485323	0.00327868852459016	0.0285714285714286	0.0285714285714286
"1-alkyl-2-acylglycerol (C_c)"	1.61442947227453	0	0.716133651526531	1.3973107377845	1.3973107377845	0.00714285714285714	0.000391389432485323	0.00193423597678917	0.00598802395209581	0.00598802395209581
"3-phospho-D-glycerate (C_c)"	1.71541136959606	0.849427752331002	0	0.530678815484752	0.530678815484752	0.00704225352112676	0.004	0.000542005420054201	0.00108695652173913	0.00108695652173913
"fatty acid-ligands (C_n)"	1.6680263828625	0	1.40633741225359	1.86892695196565	1.86892695196565	0.00704225352112676	0.000391389432485323	0.00304878048780488	0.0108695652173913	0.0108695652173913
"PPARA (C_n)"	1.6680263828625	0	1.40633741225359	1.86892695196565	1.86892695196565	0.00704225352112676	0.000391389432485323	0.00304878048780488	0.0108695652173913	0.0108695652173913
"5,10-methylene-THF (C_c)"	1.69940451611004	0	2.05206169176452	1.78595132058806	1.78595132058806	0.00689655172413793	0.000391389432485323	0.00367647058823529	0.010989010989011	0.010989010989011
"CoA (C_p)"	1.62980159644089	0	0.391859225955944	1.13527538399578	1.13527538399578	0.00684931506849315	0.000407166123778502	0.00140252454417952	0.00313479623824451	0.00313479623824451
"(R)-3-hydroxybutanoyl-CoA (C_m)"	1.53827643073061	0	1.77419982942945	1.43975851110709	1.43975851110709	0.00680272108843537	0.000391389432485323	0.00476190476190476	0.00699300699300699	0.00699300699300699
"itaconate (C_m)"	1.6680263828625	0	2.16120756006378	1.59847883861446	1.59847883861446	0.00680272108843537	0.000391389432485323	0.0101010101010101	0.00900900900900901	0.00900900900900901
"itaconyl-CoA (C_m)"	1.6680263828625	0	2.16120756006378	1.59847883861446	1.59847883861446	0.00680272108843537	0.000391389432485323	0.0101010101010101	0.00900900900900901	0.00900900900900901
"mesaconyl-CoA (C_m)"	1.6680263828625	0	2.16120756006378	1.59847883861446	1.59847883861446	0.00680272108843537	0.000391389432485323	0.0101010101010101	0.00900900900900901	0.00900900900900901
"mesaconate (C_m)"	1.6680263828625	0	2.16120756006378	1.59847883861446	1.59847883861446	0.00680272108843537	0.000391389432485323	0.0101010101010101	0.00900900900900901	0.00900900900900901
"acetoacetyl-[ACP] (C_c)"	1.59108197915322	0	0.370243919137234	0.902985768821967	0.902985768821967	0.00657894736842105	0.000391389432485323	0.0014792899408284	0.00256410256410256	0.00256410256410256
"ceramide pool (C_c)"	1.59108197915322	0.613358373864372	0	1.11125903931711	1.11125903931711	0.00657894736842105	0.00319488817891374	0.000542005420054201	0.0025706940874036	0.0025706940874036
"sn-glycerol-3-phosphate (C_p)"	1.59108197915322	0	2.16120756006378	1.5285615926107	1.5285615926107	0.00657894736842105	0.000391389432485323	0.00675675675675676	0.0043859649122807	0.0043859649122807
"4-hydroxyphenylacetaldehyde (C_c)"	1.6872304429477	0.0567380274413439	0	0.890353968909027	0.890353968909027	0.00645161290322581	0.000455373406193078	0.000636132315521629	0.0021551724137931	0.0021551724137931
"3-keto-beta-D-galactose (C_s)"	1.6680263828625	0.538816728735412	0	0.630895514428371	0.630895514428371	0.00641025641025641	0.001001001001001	0.000542005420054201	0.0015748031496063	0.0015748031496063
"3-ketolactose (C_s)"	1.6680263828625	0.538816728735412	0	0.630895514428371	0.630895514428371	0.00641025641025641	0.001001001001001	0.000542005420054201	0.0015748031496063	0.0015748031496063
"3,4-dihydroxyphenylacetaldehyde (C_c)"	1.53399292722513	0	0.29236170462	0.818957165969247	0.818957165969247	0.00632911392405063	0.000407166123778502	0.00121212121212121	0.00215982721382289	0.00215982721382289
"DHAP (C_p)"	1.54015535761179	0	2.32235655347822	1.4310477128049	1.4310477128049	0.00628930817610063	0.000391389432485323	0.0113636363636364	0.0045662100456621	0.0045662100456621
"dopamine (C_c)"	1.69940451611004	0	0.0114098321138269	0.808129984555278	0.808129984555278	0.00625	0.000419463087248322	0.0006765899864682	0.00165289256198347	0.00165289256198347
"Pi (C_l)"	1.6680263828625	1.48163084908225	0	0.630895514428371	0.630895514428371	0.0062111801242236	0.0116279069767442	0.000542005420054201	0.0015748031496063	0.0015748031496063
"1,2-diacylglycerol-LD-PS pool (C_c)"	1.69940451611004	0	0.388425375699063	1.47596756512561	1.47596756512561	0.00617283950617284	0.000391389432485323	0.00149700598802395	0.00591715976331361	0.00591715976331361
